UID,YearManufactured,City,State,zip,Purchase_Price,Number_of_services,Model,Category,OEM,Currency,Make,Type,Date,Retail_Price,Condition
Asset1,2008,Baltimore,Maryland,21201,140000,2,Lightspeed 16,CT,GE,USD,SIG,Complete System,6/17/2018,125780,Unknown
Asset2,2014,Oakland,California,94577,190000,3,Lightspeed VCT 64,CT,GE,USD,SGS,Complete System,6/17/2018,173937,Used
Asset3,2010,Miami,Florida,33101,81000,2,Emotion 16,CT,Siemens,USD,aa,Complete System,6/17/2018,72441,Unknown
Asset4,2002,Mesa,Arizona,85201,125000,1,Brilliance 64,CT,Philips,USD,LET,Complete System,6/17/2018,113489,New
Asset5,2002,Arlington,Virginia,20330,102500,2,Sensation 16,CT,Siemens,USD,LJL BioSystems,Complete System,6/17/2018,93784,Used
Asset6,2002,Montgomery,Alabama,36043,148000,4,Intera 1.5T,MRI,Philips,USD,Universal Pack,Complete System,6/17/2018,144532,Used
Asset7,2013,Portland,Oregon,97035,62300,2,Sensation 4,CT,Siemens,USD,milford,Complete System,6/3/2018,54879,Unknown
Asset8,2002,Anaheim,California,92801,78000,1,Lightspeed Plus,CT,GE,USD,Ventana,Complete System,6/17/2018,68162,Used
Asset9,2007,Kansas City,Missouri,64030,260000,2,Achieva 1.5T,MRI,Philips,USD,Ventana,Complete System,6/17/2018,233609,Used
Asset10,2009,Henderson,Nevada,89002,147500,0,Definition CT,CT,GE,USD,Ventana,Complete System,6/17/2018,139877,Unknown
Asset11,2004,Milwaukee,Wisconsin,53201,88000,1,Emotion 6,CT,Siemens,USD,Nalgene,Complete System,6/17/2018,67864,Used
Asset12,2008,Jersey City,New Jersey,7030,124000,3,Sensation 64,CT,Siemens,USD,LET,Complete System,6/17/2018,112994,Used
Asset13,2005,Cleveland,Ohio,44101,356725,2,Discovery,CT,GE,USD,LJL BioSystems,Complete System,6/17/2018,313470,Used
Asset14,2005,Boise,Idaho,83701,255750,1,Axiom Artis,NUC,Siemens,USD,Universal Pack,Complete System,6/17/2018,233312,Used
Asset15,2008,Rochester,New York,14602,64000,0,Lightspeed Ultra,CT,GE,USD,LJL BioSystems,Complete System,6/17/2018,34512,Used
Asset16,2005,Detroit,Michigan,48127,10040,2,Senographe 800T,MAM,GE,USD,milford,Complete System,6/3/2018,8283,Used
Asset17,2007,Greensboro,North Carolina,27214,325000,1,Avanto 1.5T,MRI,Siemens,USD,AWM Rainforcing Business,Complete System,6/3/2018,309570,New
Asset18,2008,Tulsa,Oklahoma,74008,104000,2,Harmony 1.0T,MRI,Siemens,USD,Nalgene,Complete System,6/3/2018,98368,Unknown
Asset19,2003,Houston,Texas,77001,77000,2,Lightspeed QXi,CT,GE,USD,Ventana,Complete System,6/3/2018,43083,Used
